X,Y,min,,max,diff in meV_max
263,-1688.359817,-1688.3602,,-1688.351553,224.87
264,-1688.359782,-1688.3602,,-1688.351553,223.92
265,-1688.359749,-1688.3602,,-1688.351553,223.03
266,-1688.359719,-1688.3602,,-1688.351553,222.21
267,-1688.359692,-1688.3602,,-1688.351553,221.48
268,-1688.359669,-1688.3602,,-1688.351553,220.86
269,-1688.359651,-1688.3602,,-1688.351553,220.37
270,-1688.35964,-1688.3602,,-1688.351553,220.07
271,-1688.359637,-1688.3602,,-1688.351553,219.98
272,-1688.359641,-1688.3602,,-1688.351553,220.09
273,-1688.359651,-1688.3602,,-1688.351553,220.35
274,-1688.359665,-1688.3602,,-1688.351553,220.75
275,-1688.359684,-1688.3602,,-1688.351553,221.25
276,-1688.359705,-1688.3602,,-1688.351553,221.83
277,-1688.359729,-1688.3602,,-1688.351553,222.48
278,-1688.359754,-1688.3602,,-1688.351553,223.18
279,-1688.359782,-1688.3602,,-1688.351553,223.92
280,-1688.35981,-1688.3602,,-1688.351553,224.7
281,-1688.35984,-1688.3602,,-1688.351553,225.51
282,-1688.359871,-1688.3602,,-1688.351553,226.34
283,-1688.359901,-1688.3602,,-1688.351553,227.17
284,-1688.35993,-1688.3602,,-1688.351553,227.96
285,-1688.359957,-1688.3602,,-1688.351553,228.7
286,-1688.359982,-1688.3602,,-1688.351553,229.36
287,-1688.360003,-1688.3602,,-1688.351553,229.94
288,-1688.360021,-1688.3602,,-1688.351553,230.43
289,-1688.360035,-1688.3602,,-1688.351553,230.8
290,-1688.360044,-1688.3602,,-1688.351553,231.06
291,-1688.360049,-1688.3602,,-1688.351553,231.2
292,-1688.36005,-1688.3602,,-1688.351553,231.22
293,-1688.360046,-1688.3602,,-1688.351553,231.1
294,-1688.360037,-1688.3602,,-1688.351553,230.85
295,-1688.360022,-1688.3602,,-1688.351553,230.45
296,-1688.360002,-1688.3602,,-1688.351553,229.91
297,-1688.359976,-1688.3602,,-1688.351553,229.2
298,-1688.359944,-1688.3602,,-1688.351553,228.33
299,-1688.359906,-1688.3602,,-1688.351553,227.3
300,-1688.359862,-1688.3602,,-1688.351553,226.09
301,-1688.359811,-1688.3602,,-1688.351553,224.71
302,-1688.359754,-1688.3602,,-1688.351553,223.16
303,-1688.35969,-1688.3602,,-1688.351553,221.43
304,-1688.35962,-1688.3602,,-1688.351553,219.53
305,-1688.359544,-1688.3602,,-1688.351553,217.45
306,-1688.359462,-1688.3602,,-1688.351553,215.21
307,-1688.359373,-1688.3602,,-1688.351553,212.79
308,-1688.359278,-1688.3602,,-1688.351553,210.22
309,-1688.359178,-1688.3602,,-1688.351553,207.5
310,-1688.359073,-1688.3602,,-1688.351553,204.63
311,-1688.358962,-1688.3602,,-1688.351553,201.61
312,-1688.358846,-1688.3602,,-1688.351553,198.46
313,-1688.358725,-1688.3602,,-1688.351553,195.15
314,-1688.358598,-1688.3602,,-1688.351553,191.7
315,-1688.358465,-1688.3602,,-1688.351553,188.09
316,-1688.358327,-1688.3602,,-1688.351553,184.33
317,-1688.358183,-1688.3602,,-1688.351553,180.41
318,-1688.358034,-1688.3602,,-1688.351553,176.35
319,-1688.35788,-1688.3602,,-1688.351553,172.16
320,-1688.35772,-1688.3602,,-1688.351553,167.83
321,-1688.357557,-1688.3602,,-1688.351553,163.37
322,-1688.357389,-1688.3602,,-1688.351553,158.8
323,-1688.357216,-1688.3602,,-1688.351553,154.11
324,-1688.357041,-1688.3602,,-1688.351553,149.33
325,-1688.356862,-1688.3602,,-1688.351553,144.47
326,-1688.35668,-1688.3602,,-1688.351553,139.53
327,-1688.356496,-1688.3602,,-1688.351553,134.52
328,-1688.35631,-1688.3602,,-1688.351553,129.45
329,-1688.356122,-1688.3602,,-1688.351553,124.33
330,-1688.355932,-1688.3602,,-1688.351553,119.16
331,-1688.35574,-1688.3602,,-1688.351553,113.94
332,-1688.355546,-1688.3602,,-1688.351553,108.67
333,-1688.355352,-1688.3602,,-1688.351553,103.37
334,-1688.355156,-1688.3602,,-1688.351553,98.05
335,-1688.354961,-1688.3602,,-1688.351553,92.73
336,-1688.354765,-1688.3602,,-1688.351553,87.41
337,-1688.35457,-1688.3602,,-1688.351553,82.11
338,-1688.354376,-1688.3602,,-1688.351553,76.82
339,-1688.354183,-1688.3602,,-1688.351553,71.57
340,-1688.353992,-1688.3602,,-1688.351553,66.38
341,-1688.353807,-1688.3602,,-1688.351553,61.33
342,-1688.353626,-1688.3602,,-1688.351553,56.42
343,-1688.35345,-1688.3602,,-1688.351553,51.61
344,-1688.353273,-1688.3602,,-1688.351553,46.82
345,-1688.353098,-1688.3602,,-1688.351553,42.05
346,-1688.352929,-1688.3602,,-1688.351553,37.44
347,-1688.352772,-1688.3602,,-1688.351553,33.17
348,-1688.352623,-1688.3602,,-1688.351553,29.13
349,-1688.35248,-1688.3602,,-1688.351553,25.24
350,-1688.352344,-1688.3602,,-1688.351553,21.53
351,-1688.352214,-1688.3602,,-1688.351553,18
352,-1688.352096,-1688.3602,,-1688.351553,14.78
353,-1688.352,-1688.3602,,-1688.351553,12.17
354,-1688.351913,-1688.3602,,-1688.351553,9.79
355,-1688.351828,-1688.3602,,-1688.351553,7.5
356,-1688.351758,-1688.3602,,-1688.351553,5.58
357,-1688.351705,-1688.3602,,-1688.351553,4.13
358,-1688.351668,-1688.3602,,-1688.351553,3.12
359,-1688.351642,-1688.3602,,-1688.351553,2.42
360,-1688.351628,-1688.3602,,-1688.351553,2.06
361,,-1688.3602,,-1688.351553,2.06
362,,-1688.3602,,-1688.351553,2.11
363,,-1688.3602,,-1688.351553,2.64
364,,-1688.3602,,-1688.351553,3.51
365,,-1688.3602,,-1688.351553,4.72
366,,-1688.3602,,-1688.351553,6.36
367,,-1688.3602,,-1688.351553,8.41
368,,-1688.3602,,-1688.351553,10.78
369,,-1688.3602,,-1688.351553,13.47
370,,-1688.3602,,-1688.351553,16.44
371,,-1688.3602,,-1688.351553,19.66
372,,-1688.3602,,-1688.351553,23.11
373,,-1688.3602,,-1688.351553,26.79
374,,-1688.3602,,-1688.351553,30.73
375,,-1688.3602,,-1688.351553,34.93
376,,-1688.3602,,-1688.351553,39.4
377,,-1688.3602,,-1688.351553,44.04
378,,-1688.3602,,-1688.351553,48.82
379,,-1688.3602,,-1688.351553,53.72
380,,-1688.3602,,-1688.351553,58.73
381,,-1688.3602,,-1688.351553,63.85
382,,-1688.3602,,-1688.351553,69.06
383,,-1688.3602,,-1688.351553,74.34
384,,-1688.3602,,-1688.351553,79.67
385,,-1688.3602,,-1688.351553,85.03
386,,-1688.3602,,-1688.351553,90.4
387,,-1688.3602,,-1688.351553,95.78
388,,-1688.3602,,-1688.351553,101.15
389,,-1688.3602,,-1688.351553,106.52
390,,-1688.3602,,-1688.351553,111.87
391,,-1688.3602,,-1688.351553,117.21
392,,-1688.3602,,-1688.351553,122.54
393,,-1688.3602,,-1688.351553,127.85
